,description,duration,title,url,url1
3,"
Ingrédients : baguette bien fraîche,ail,oeuf durs,céleri cru,anchois au sel,huile d'olive.Vider puis laver à l'eau courante 1 à 2 anchois par personne (selon leur taille), bien sécher les filets ainsi obtenus....		",10 min,Sandwich Roselyne,/recettes/recette_sandwich-roselyne_224099.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
4,"
Ingrédients : Émietté Végétal tomate & piment rouge Nautilus®,tomate,courgette ronde,poivron,aubergine,romarin,thym,sel,poivre du moulin.Laver les légumes.Tailler le « chapeau »...		",45 min,Légumes farcis à l’émietté végétal de tomate et piment rouge,/recettes/recette_legumes-farcis-a-l-emiette-de-tomate-et-piment-rouge_392599.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
5,"
Ingrédients : pain de mie sans croutes,escalope de poulet,mayonnaise,salade,tomate coeur de pigeon,lard fumé,fromage,oeuf dur.Faire dorer dans une poêle l’escalope de poulet dans un peu de beurre. Saler, poivrer....		",35 min,Club sandwich poulet crudités,/recettes/recette_club-sandwich-poulet-crudites_335100.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
6,"
Ingrédients : baguette bien croustillante,tomate mûres (ou 4 petites),basilic,ail nouveau (ail frais),huile d'olive,vinaigre de vin rouge,poivre,sel.Détacher les feuilles de basilic de leurs tiges, les laver et les...		",5 min,Sandwich à la tomate et au basilic,/recettes/recette_sandwich-a-la-tomate-et-au-basilic_59108.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
7,"
Ingrédients : pain (genre pain de mie),jambon,carré frais,crème fraîche,ciboulette hachée,poivre,sel.A préparer la veille (pour le pique-nique).Mixer les tranches de jambon, les mélanger avec la crème fraîche...		",20 min,Petits sandwichs farcis au Jambon,/recettes/recette_petits-sandwichs-farcis-au-jambon_10689.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
8,"
Ingrédients : baguette (tradition, viennoise ou même du pain de mie),jambon,échalote,salade,persil,mayonnaise,poivre,sel.Hacher très fin le jambon, les échalotes, la salade et le persil(avec un hachoir électrique...		",15 min,Sandwich cess'touch,/recettes/recette_sandwich-cess-touch_45142.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
9,"
Ingrédients : Émietté Végétal tomate & piment rouge Nautilus®,tomate concassée,oignon rouge,poivron rouge,ail,origan,paprika,cumin en poudre,piment d'Espelette,huile d'olive,haricots...		",50 min,Chili sin carne à l’Emietté Végétal tomate,/recettes/recette_chili-sin-carne-a-l-emiette-vegetal-tomate_528025.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
10,"
Ingrédients : oeuf,lait,crème fraîche épaisse,concombre,pâte de curry (doux),huile d'olive,poivre du moulin,sel.Préchauffer le four à 210°C.Cassez les oeufs dans un saladier. Saler, poivrer et ajouter le lait....		",23 min,Petits sandwichs d'omelette au curry et au concombre,/recettes/recette_petits-sandwichs-d-omelette-au-curry-et-au-concombre_166790.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
11,"
Ingrédients : carré frais en petites portions,bacon,salade (coeur de laitue),tomate,gruyère ou comté,pain de mie complet.Prendre 2 tranches de pain de mie complet (carré).Etaler une petite portion de carré...		",5 min,Méga-bon sandwich au bacon,/recettes/recette_mega-bon-sandwich-au-bacon_10623.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
12,"
Ingrédients : pain de mie complet,tomate,avocat mûr,tofu nature ou aux herbes,crottin de chèvre,épinards frais,moutarde douce.Couper les ingrédients en tranches. Tartiner le pain de moutarde douce puis monter les...		",5 min,Club sandwich végétarien,/recettes/recette_club-sandwich-vegetarien_310985.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
13,"
Ingrédients : avocat,thon en boite,baguette de pain,jambon blanc.Couper l'avocat en deux, récupérer la chair, et l'écraser à l'aide d'une fourchette. Mélanger la purée d'avocat aux miettes de thon.Il n'est pas...		",10 min,Sandwich de l'été à l'Avocat  et au Thon,/recettes/recette_sandwich-de-l-ete-a-l-avocat-et-au-thon_70133.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
14,"
Ingrédients : Émietté Végétal citron & poivre mignonette Nautilus®,pomme de terre grenaille,haricots verts,concombre,tomates cerises,olives mélangées dénoyautées noires et...		",25 min,Salade fraîcheur à l’Emietté Végétal citron,/recettes/recette_salade-fraicheur-a-l-emiette-vegetal-citron_528024.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=24&page=3
0,"
Ingrédients : galette de maïs souple (type tortillas),salade,jambon de Parme,tomate,fromage de chèvre frais.Découper la tomate en tranches fines.Tartiner la galette de maïs de chèvre frais et y disposer la...		",5 min,Sandwich de tortillas,/recettes/recette_sandwich-de-tortillas_48630.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=36&page=4
1,"
Ingrédients : pain de mie (les grandes),beurre,ail,oignon,salade (iceberg),tomate,escalope de dinde,mayonnaise,fromage (au choix).Couper la tomate en tout petits dés.Hacher l'oignon et couper les feuilles de salade...		",25 min,Club sandwich phénoménal,/recettes/recette_club-sandwich-phenomenal_66560.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=36&page=4
2,"
Ingrédients : ciabatta (une demie ou moins ou plus, en fonction de l'appétit et de la taille du pain à l'achat !),huile d'olive vierge,moutarde de Dijon,bacon,tomate,basilic entières,fromage à pâte dure (Gouda, Édam,...		",10 min,Sandwich Bacon et basilic,/recettes/recette_sandwich-bacon-et-basilic_37889.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=36&page=4
3,"
Ingrédients : steak hachés (du boucher c'est mieux),baguette fraiche,fromage a hamburger,tomate,salade essorées,moutarde,ketchup ...),poivre,sel.-faire préchauffer le four à 200°.-faire cuire les steaks hachés a...		",30 min,Sandwich americain steak haché,/recettes/recette_sandwich-americain-steak-hache_165930.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=36&page=4
4,"
Ingrédients : pâte brisée,sardine à l'huile,St Morêt,ciboulette,sel,poivre.Préchauffer le four à 180C° / Thermostat 6.Étaler les rouleaux de pâtes et découper 14 disques  avec...		",30 min,"Mini-sandwich feuilletés, St Morêt sardines et ciboulette",/recettes/recette_mini-sandwich-feuilletes-st-moret-sardines-ciboulette_528251.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=36&page=4
5,"
Ingrédients : pain complet ou de seigle ou de campagne voire du pain de mie (Comme vous voulez, mais faut que les tranches soit assez grosses, en gros, pas de la baguette),jambon blanc ou (encore mieux) aux herbes (Allez...		",10 min,"Sandwich jambon, menthe et feta",/recettes/recette_sandwich-jambon-menthe-et-feta_38858.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=36&page=4
6,"
Ingrédients : pain (petits ou grands selon votre appétit),thon au naturel,mayonnaise,beurre,laitue,tomate.Ouvrir le pain sur le côté et beurrer l'intérieur. Déposer quelques feuilles de laitues à l'intérieur du...		",5 min,Sandwich au thon et à la tomate,/recettes/recette_sandwich-au-thon-et-a-la-tomate_39120.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=36&page=4
7,"
Ingrédients : baguette,pistou,jambon de Parme,feta de brebis nature,tomate séchée,tomates cerises,roquette.Coupez la baguette en deux.Tartinez un coté (ou les deux selon votre goût) de pistou.Posez dessus la...		",5 min,Sandwich d'été à la feta,/recettes/recette_sandwich-d-ete-a-la-feta_35999.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=36&page=4
8,"
Ingrédients : pain de mie,rôti de boeuf froid,beurre,laitue,cornichon,estragon.Tartiner de beurre les pains de mie sur une seule face.Disposer sur la moitié des pains de mie une feuille de laitue et une tranche de...		",10 min,Sandwich au boeuf rôti et aux cornichons,/recettes/recette_sandwich-au-boeuf-roti-et-aux-cornichons_24747.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=36&page=4
9,"
Ingrédients : gigot d'agneau désossé,oignon jaune,ail,ketchup,moutarde à l'ancienne,cumin en poudre,graines de coriandre,pain pita,oignon rouge,tomates cerises,coriandre,yaourt à la...		",3h45,Mini-sandwichs grecs à l’effiloché de gigot d’agneau,/recettes/recette_mini-sandwichs-grecs-a-l-effiloche-de-gigot-d-agneau_392448.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=36&page=4
10,"
Ingrédients : pain de mie ou deux petits picolo (petites baguettes),crevette grise,échalote coupée finement,fromage frais type Philadelphia (St-Morêt),ciboulette ciselée,poivre (facultatif),sel.Dans un bol,...		",10 min,Sandwichs frais aux crevettes grises,/recettes/recette_sandwichs-frais-aux-crevettes-grises_56891.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=36&page=4
11,"
Ingrédients : thon (en conserve et égouttée),persil frais coupé en morceaux,céleri coupé en morceaux,mayonnaise,jus de citron,oignon en petits morceaux,sel,poivre,ail en poudre,pain de mie (toastées ou pas),salade...		",10 min,Sandwich au thon - tunafish salad sandwich,/recettes/recette_sandwich-au-thon-tunafish-salad-sandwich_55152.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=36&page=4
12,"
Ingrédients : baguette bien cuite,rosette,mortadelle,thon au naturel,thym en poudre.Couper la demi baguette en deux, dans le sens de la longueur.Déposer en son centre les quatre rondelles de mortadelle. Déposer sur...		",5 min,Sandwich du randonneur,/recettes/recette_sandwich-du-randonneur_84279.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=36&page=4
13,"
Ingrédients : pain de mie,jambon cru,jambon cuit,tomate,parmesan,mayonnaise.Passer les tranches de pain de mie au grille-pain, couper des petites tranches de parmesan. Quand le pain est prêt enduire de mayonnaise les...		",7 min,le sandwich qui tabasse,/recettes/recette_le-sandwich-qui-tabasse_22866.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=36&page=4
14,"
Ingrédients : farine,oeuf,sucre,limonade,beurre,levure de boulanger fraîche,sel.Délayer la levure de boulanger dans un peu d’eau tiède. Bien mélanger.Séparer les blancs des jaunes...		",1h41,Gaufres aériennes à la limonade,/recettes/recette_gaufres-aeriennes-a-la-limonade_372495.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=36&page=4
0,"
Ingrédients : thon (en conserve et égouttée),persil frais coupé en morceaux,céleri coupé en morceaux,mayonnaise,jus de citron,oignon en petits morceaux,sel,poivre,ail en poudre,pain de mie (toastées ou pas),salade...		",10 min,Sandwich au thon - tunafish salad sandwich,/recettes/recette_sandwich-au-thon-tunafish-salad-sandwich_55152.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=48&page=5
1,"
Ingrédients : pain de mie au choix (en tranches) ou 1 pain de campagne aux noix (en tranches) ou 1 pain Poilane (en tranches),crabe en boite (ou frais),roquette (100 g),jus de citron,huile d'olive,maquereau fumés,crème...		",32 min,Sandwichs anglais,/recettes/recette_sandwichs-anglais_85768.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=48&page=5
2,"
Ingrédients : baguette,emmental,saucisse knack,poivron coupés en lamelles,ketchup.Préchauffer le four pendant 10 minutes à 180°C (thermostat 6).Pendant ce temps, préparer le sandwich :A l'intérieur de la demie...		",30 min,Sandwich knack ,/recettes/recette_sandwich-knack_82299.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=48&page=5
3,"
Ingrédients : pain de mie anglais (complet de préférence),tomate,salade bien craquantes,bacon,mayonnaise ou moutarde, selon les goûts.Faire cuire le bacon dans une poêle ou au grill sans matière grasse jusqu'à...		",10 min,Sandwich British,/recettes/recette_sandwich-british_48629.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=48&page=5
4,"
Ingrédients : pâte feuilletée rectangulaire si possible,jambon blanc,fromage râpé,saumon fumé,citron zestes + quelques gouttes de jus,tapenade verte,poudre d'amande,pesto...		",1h05,Petits palmiers feuilletés apéro bien gonflés,/recettes/recette_petits-palmiers-feuilletes-apero-bien-gonfles_372565.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=48&page=5
5,"
Ingrédients : tortilla de blé (ou de mais selon votre goût),fromage frais (genre St Moret),jambon blanc,guacamole,concombre,carotte,salade.Disposer la tortillas dans une assiette, la tartiner de guacamole. Poser une...		",,sandwichs mexicains,/recettes/recette_sandwichs-mexicains_227656.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=48&page=5
6,"
Ingrédients : oeuf durs,mayonnaise (allégé possible),thon au naturel,sel,poivre,moutarde.Mélanger intimement tous les ingrédients, goûter pour rectifier l'assaisonnement à votre volonté. La pâte doit être...		",10 min,Garniture pour sandwich,/recettes/recette_garniture-pour-sandwich_24476.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=48&page=5
7,"
Ingrédients : pain viennois,jambon,tomate tranchée,oeuf dur tranché,salade,mayonnaise.Ouvrir le pain viennois puis le garnir avec le jambon, la salade, les tranches de tomate, la mayonnaise et les tranches d'oeufs.		",5 min,Sandwich viennois,/recettes/recette_sandwich-viennois_66072.aspx,https://www.marmiton.org/https://www.marmiton.org/recettes/recherche.aspx?aqt=sandwich&start=48&page=5
